Red_Corner_Fighter,Blue_Corner_Fighter,Odds_Red_Fighter,Odds_Blue_Fighter,Winner
Edson Barboza,Paul Felder,-120,100,Blue
Islam Makhachev,Davi Ramos,-380,315,Red
Curtis Blaydes,Shamil Abdurakhimov,-550,425,Red
Mairbek Taisumov,Diego Ferreira,-245,205,Blue
Joanne Calderwood,Andrea Lee,210,-250,Red
Liana Jojua,Sarah Moras,-155,135,Blue
Ottman Azaitar,Teemu Packalen,-190,165,Red
Belal Muhammad,Takashi Sato,-390,320,Red
Nordine Taleb,Muslim Salikhov,-130,110,Blue
Omari Akhmedov,Zak Cummings,-125,105,Red
Don Madge,Fares Ziam,-190,165,Red
Donald Cerrone,Justin Gaethje,160,-185,Blue
Glover Teixeira,Nikita Krylov,-115,-105,Red
Michel Pereira,Tristan Connelly,-460,365,Blue
Uriah Hall,Antonio Carlos Junior,230,-270,Red
Misha Cirkunov,Jimmy Crute,-105,-115,Red
Marcin Tybura,Augusto Sakai,105,-125,Blue
Cole Smith,Miles Johns,115,-135,Blue
Brad Katona,Hunter Azure,-130,110,Blue
Chas Skelly,Jordan Griffin,145,-160,Red
Louis Smolka,Ryan MacDonald,-230,190,Red
Kyle Prepolec,Austin Hubbard,120,-140,Blue
Carla Esparza,Alexa Grasso,125,-145,Red
Irene Aldana,Vanessa Melo,-525,415,Red
Martin Bravo,Steven Peterson,-145,125,Blue
Jose Quinonez,Carlos Huachin,-150,130,Red
Marco Polo Reyes,Kyle Nelson,-105,-115,Blue
Ariane Carnelossi,Angela Hill,-115,-105,Blue
Sergio Pettis,Tyson Nam,-300,250,Red
Vinicius Moreira,Paul Craig,100,-120,Blue
Sijara Eubanks,Bethe Correia,-290,245,Blue
Caludio Puelles,Marcos Mariano,-400,325,Red
Jack Hermansson,Jared Cannonier,-275,235,Blue
Mark Madsen,Danilo Belluardo,-600,450,Red
Gunnar Nelson,Gilbert Burns,-105,-115,Blue
Ion Cutelaba,Khalil Rountree Jr.,-105,-115,Red
Michal Oleksiejczuk,Ovince Saint Preux,-290,245,Blue
Nicolas Dalby,Alex Oliveira,135,-155,Red
Alen Amedovski,John Phillips,-130,110,Blue
Alessio Di Chirico,Makhmud Muradov,145,-165,Blue
Siyar Bahadurzada,Ismail Naurdiev,190,-230,Blue
Brandon Davis,Giga Chikadze,-155,135,Blue
Macy Chiasson,Lina Lansberg,-430,345,Blue
Marc Diakiese,Lando Vannata,-165,145,Red
Jack Shore,Nohelin Hernandez,-235,195,Red
Robert Whittaker,Israel Adesanya,110,-130,Blue
Al Iaquinta,Dan Hooker,115,-135,Blue
Tai Tuivasa,Serghei Spivac,-330,270,Blue
Luke Jumeau,Dhiego Lima,120,-140,Blue
Justin Tafa,Yorgan De Castro,-105,-115,Blue
Jake Matthews,Rostem Akman,-470,375,Red
Callan Potter,Maki Pitolo,325,-400,Red
Brad Riddell,Jamie Mullarkey,-165,145,Red
Megan Anderson,Zarah Fairn,-420,335,Red
Nadia Kassem,Ji Yeon Kim,155,-175,Blue
Khalid Taha,Bruno Silva,-220,180,Red
Curtis Blaydes,Junior Dos Santos,-280,240,Red
Rafael Dos Anjos,Michael Chiesa,-225,185,Blue
Jordan Espinosa,Alex Perez,210,-250,Blue
Hannah Cifers,Angela Hill,180,-220,Blue
Jamahal Hill,Darko Stosic,-135,115,Red
Bevon Lewis,Dequan Townsend,-370,310,Red
Arnold Allen,Nik Lentz,-235,195,Red
Justine Kish,Luci Pudilova,150,-170,Red
Montel Jackson,Felipe Colares,-700,500,Red
Sara McMann,Lina Lansberg,-125,105,Red
Brett Johns,Tony Gravely,-130,110,Red
Herbert Burns,Nate Landwehr,100,-120,Red
Joanna Jedrzejczyk,Michelle Waterson,-300,250,Red
Cub Swanson,Kron Gracie,155,-175,Red
Niko Price,James Vick,-145,125,Red
Mackenzie Dern,Amanda Ribas,-185,160,Blue
Matt Frevola,Luis Pena,130,-150,Red
Eryk Anders,Gerald Meerschaert,-140,120,Red
Ryan Spann,Devin Clark,-175,155,Red
Mike Davis,Thomas Gifford,-290,245,Red
Max Griffin,Alex Morono,-145,125,Blue
Deiveson Figueiredo,Tim Elliott,-175,155,Red
Marlon Vera,Andre Ewell,-140,120,Red
Miguel Baeza,Hector Aldana,-250,210,Red
Marvin Vettori,Andrew Sanchez,-370,310,Red
JJ Aldrich,Lauren Mueller,-150,130,Red
Yair Rodriguez,Jeremy Stephens,-140,120,Red
Dominick Reyes,Chris Weidman,-200,170,Red
Joe Lauzon,Jonathan Pearce,170,-200,Red
Maycee Barber,Gillian Robertson,-170,150,Red
Deron Winn,Darren Stewart,-115,-105,Blue
Charles Rosa,Manny Bermudez,160,-185,Red
Molly McCann,Diana Belbita,-640,470,Red
Kyle Bochniak,Sean Woodson,-115,-105,Blue
Randy Costa,Boston Salmon,130,-150,Red
Court McGee,Sean Brady,150,-170,Blue
Brendan Allen,Kevin Holland,135,-155,Red
Daniel Spitz,Tanner Boser,125,-145,Blue
Demian Maia,Ben Askren,140,-160,Red
Michael Johnson,Stevie Ray,-275,235,Blue
Frank Camacho,Beneil Dariush,160,-185,Blue
Ciryl Gane,Don'tale Mayes,-325,265,Red
Muslim Salikhov,Laureano Staropoli,-165,145,Red
Randa Markos,Ashley Yoder,-150,130,Red
Alex White,Rafael Fiziev,165,-190,Blue
Enrique Barzola,Movsar Evloev,170,-200,Blue
Maurice Greene,Sergei Pavlovich,200,-240,Blue
Loma Lookboonmee,Alexandra Albu,-135,115,Red
Raphael Pessoa Nunes,Jeff Hughes,205,-245,Red
Conor McGregor,Donald Cerrone,-305,275,Red
Holly Holm,Raquel Pennington,-125,105,Red
Aleksei Oleinik,Maurice Greene,110,-120,Red
Anthony Pettis,Diego Ferreira,200,-220,Blue
Roxanne Modafferi,Maycee Barber,655,-830,Red
Andre Fili,Sodiq Yusuff,125,-135,Blue
Drew Dober,Nasrat Haqparast,290,-320,Red
Aleksa Camur,Justin Ledet,-115,105,Red
Tim Elliott,Askar Askarov,130,-140,Blue
Brian Kelleher,Ode Obsourne,125,-135,Red
Sabina Mazo,JJ Aldrich,-105,-105,Red
Jorge Masvidal,Nate Diaz,-155,135,Red
Kelvin Gastelum,Darren Till,-200,170,Blue
Stephen Thompson,Vicente Luque,-115,-105,Red
Derrick Lewis,Blagoy Ivanov,-115,-105,Red
Kevin Lee,Gregor Gillespie,150,-170,Red
Corey Anderson,Johnny Walker,155,-175,Red
Shane Burgos,Makwan Amirkhani,-220,180,Red
Brad Tavares,Edmen Shahbazyan,160,-185,Blue
Andrei Arlovski,Jairzinho Rozenstruik,140,-160,Blue
Katlyn Chookagian,Jennifer Maia,-135,115,Red
Lyman Good,Chance Rencountre,-115,-105,Red
Julio Arce,Hakeem Dawodu,-110,-110,Blue
Zabit Magomedsharipov,Calvin Kattar,-275,235,Red
Alekander Volkov,Greg Hardy,-270,230,Red
Zelim Imadaev,Danny Roberts,-240,200,Blue
Khadis Ibragimov,Ed Herman,-235,195,Blue
Ramazan Emeev,Rocco Martin,-135,115,Blue
Shamil Gamzatov,Klidson Abreu,-145,125,Red
Magomed Ankalaev,Dalcha Lungiambula,-330,270,Red
Rustam Khabilov,Sergey Khandozhko,-245,205,Red
Roman Kopylov,Karl Roberson,-145,125,Blue
Abubakar Nurmagomedov,David Zawada,-265,225,Blue
Alexander Yakovlev,Roosevelt Roberts,110,-130,Blue
Jessica-Rose Clark,Pannie Kianzad,-105,-115,Blue
Grigorii Popov,Davey Grant,-150,130,Blue
Jan Blachowicz,Jacare Souza,-160,140,Red
Charles Oliveira,Jared Gordon,-390,320,Red
Antonio Arroyo,Andre Muniz,105,-125,Blue
Markus Perez,Wellington Turman,135,-155,Blue
Sergio Moraes,James Krause,170,-200,Blue
Ricardo Ramos,Eduardo Garagorri,-430,345,Red
Francisco Trinaldo,Bobby Green,-155,135,Red
Warlley Alves,Randy Brown,-135,115,Blue
Douglas Silva de Andrade,Renan Barao,-235,195,Red
Ariane Lipski,Isabela De Pauda,-260,220,Red
Vanessa Melo,Tracy Cortez,195,-235,Blue
Frankie Edgar,Chan Sung Jung,129,-151,Blue
Volkan Oezdemir,Aleksandar Rakic,145,-175,Red
Dooho Choi,Charles Jourdain,-280,220,Blue
Da Un Jung,Mike Rodriguez,-118,-118,Red
 Jun Yong Park,Marc-Andre Barriault,-138,105,Red
Kyung Ho Kang,Liu Pingyuan,-275,200,Red
Ciryl Gane,Tanner Boser,-641,484,Red
Seungwoo Choi,Suman Mokhtarian,-275,200,Red
Dong Hyun Ma,Omar Antonio Morales Ferrer,150,-200,Blue
Alexandre Pantoja,Matt Schnell,-181,159,Red
Raoni Barcelos,Said Nurmagomedov,-151,129,Red
Miranda Granger,Amanda Lemos,-303,234,Blue
Heili Alateng,Ryan Benoit,126,-154,Red
Kamaru Usman,Colby Covington,-190,165,Red
Max Holloway,Alexander Volkanovski,-200,170,Blue
Amanda Nunes,Germaine de Randamie,-460,365,Red
Marlon Moraes,Jose Aldo,-165,145,Red
Peter Yan,Urijah Faber,-470,375,Red
Geoff Neal,Mike Perry,-300,250,Red
Ketlen Vieira,Irene Aldana,-240,200,Blue
Ian Heinisch,Omari Akhmedov,-115,-105,Blue
Matt Brown,Ben Saunders,-355,295,Red
Chase Hooper,Daniel Teymur,-165,145,Red
Brandon Moreno,Kai Kara France,140,-160,Red
Jessica Eye,Viviane Araujo,185,-225,Red
Punahele Soriano,Oskar Piechota,-125,105,Red
Alistair Overeem,Jairzinho Rozenstruik,130,-150,Blue
Stefan Struve,Ben Rothwell,130,-150,Blue
Aspen Ladd,Yana Kunitskaya,-210,175,Red
Rob Font,Ricky Simon,-145,125,Red
Thiago Alves,Tim Means,225,-265,Blue
Billy Quarantillo,Jacob Kilburn,-320,260,Red
Bryce Mitchell,Matt Sayles,110,-130,Red
Joe Solecki,Matt Wiman,-400,325,Red
Mallory Martin,Virna Jandiroba,215,-255,Red
Makhmud Muradov,Trevor Smith,-500,400,Red
Henry Cejudo,Marlon Moraes,145,-165,Red
Valentina Shevchenko,Jessica Eye,-1100,700,Red
Tony Ferguson,Donald Cerrone,-210,175,Red
Jimmie Rivera,Petr Yan,300,-360,Blue
Tai Tuivasa,Blagoy Ivanov,-160,140,Blue
Tatiana Suarez,Nina Ansaroff,-750,525,Red
Aljamain Sterling,Pedro Munhoz,-160,140,Red
Karolina Kowalkiewicz,Alexa Grasso,105,-125,Blue
Ricardo Lamas,Calvin Kattar,155,-175,Blue
Yan Xiaonan,Angela Hill,-220,180,Red
Bevon Lewis,Darren Stewart,-170,150,Blue
Eddie Wineland,Grigorii Popov,-155,135,Red
Katlyn Chookagian,Joanne Calderwood,-105,-115,Red
Alexander Gustafsson,Anthony Smith,-320,260,Blue
Jimi Manuwa,Aleksandar Rakic,215,-255,Blue
Makwan Amirkhani,Chris Fishgold,-130,110,Red
Damir Hadzovic,Christos Giagos,-165,145,Blue
Daniel Teymur,Sung Bin Jo,110,-130,Red
Rostem Akman,Sergey Khandozhko,135,-155,Blue
Tonya Evinger,Lina Lansberg,-400,325,Blue
Stevie Ray,Leonardo Santos,135,-155,Blue
Nick Hein,Frank Camacho,110,-130,Blue
Bea Malecki,Duda Santana,-125,105,Red
Darko Stosic,Devin Clark,-110,-110,Blue
Joel Alvarez,Danilo Belluardo,-105,-115,Red
Rafael Dos Anjos,Kevin Lee,130,-150,Red
Antonio Carlos Junior,Ian Heinisch,-160,140,Blue
Megan Anderson,Felicia Spencer,-220,180,Blue
Vicente Luque,Derrick Krantz,-1100,700,Red
Charles Oliveira,Nik Lentz,-420,335,Red
Davi Ramos,Austin Hubbard,-550,425,Red
Aspen Ladd,Sijara Eubanks,-260,220,Red
Desmond Green,Charles Jourdain,-900,600,Red
Danny Roberts,Michel Pereira,-250,210,Blue
Michael Trizano,Grant Dawson,145,-165,Blue
Patrick Cummins,Ed Herman,-260,220,Blue
Zak Cummings,Trevin Giles,170,-200,Red
Julio Arce,Julian Erosa,-800,550,Red
Rose Namajunas,Jessica Andrade,120,-140,Blue
Jared Cannonier,Anderson Silva,-135,115,Red
Jose Aldo,Alexander Volkanovski,-145,125,Blue
Thiago Alves,Laureano Staropoli,-125,105,Blue
Irene Aldana,Bethe Correia,-400,325,Red
Rogerio Nogueira,Ryan Spann,105,-125,Blue
Thiago Moises,Kurt Holobaugh,-125,105,Red
Warlley Alves,Sergio Moraes,-135,115,Red
BJ Penn,Clay Guida,525,-750,Blue
Luana Carolina,Priscila Cachoeira,-170,150,Red
Raoni Barcelos,Carlos Huachin,-1100,700,Red
Talita Bernardo,Viviane Araujo,-280,240,Blue
Al Iaquinta,Donald Cerrone,-130,110,Blue
Derek Brunson,Elias Theodorou,-110,-110,Red
Cub Swanson,Shane Burgos,160,-185,Blue
Brad Katona,Merab Dvalishvili,140,-160,Blue
Walt Harris,Serghei Spivac,-165,145,Red
Marc-Andre Barriault,Andrew Sanchez,140,-160,Blue
Macy Chiasson,Sarah Moras,-700,500,Red
Aiemann Zahabi,Vince Morales,-175,155,Blue
Nordine Taleb,Kyle Prepolec,-420,335,Red
Kyle Nelson,Matt Sayles,165,-190,Blue
Arjan Bhullar,Juan Adams,115,-135,Red
Mitch Gagnon,Cole Smith,-120,100,Blue
Jacare Souza,Jack Hermansson,-225,185,Blue
Greg Hardy,Dmitrii Smoliakov,-290,245,Red
Alex Oliveira,Mike Perry,-165,145,Blue
Glover Teixeira,Ion Cutelaba,-120,100,Red
John Lineker,Cory Sandhagen,-155,135,Blue
Roosevelt Roberts,Thomas Gifford,-470,375,Red
Ben Saunders,Takashi Sato,190,-230,Blue
Andrei Arlovski,Augusto Sakai,145,-165,Blue
Carla Esparza,Virna Jandiroba,-130,110,Red
Gilbert Burns,Mike Davis,-245,205,Red
Jim Miller,Jason Gonzalez,-115,105,Red
Angela Hill,Jodie Esquibel,-610,455,Red
Court McGee,Dhiego Lima,-150,130,Blue
Alistair Overeem,Aleksei Oleinik,-245,205,Red
Islam Makhachev,Arman Tsarukyan,-320,260,Red
Sergei Pavlovich,Marcelo Golm,-300,250,Red
Roxanne Modafferi,Antonina Shevchenko,270,-330,Red
Krzysztof Jotko,Alen Amedovski,-230,190,Red
Movsar Evloev,Seungwoo Choi,-440,350,Red
Sultan Aliev,Keita Nakamura,-110,-110,Red
Alexander Yakovlev,Alex Da Silva,-150,130,Red
Marcin Tybura,Shamil Abdurakhimov,-135,115,Blue
Gadzhimurad Antigulov,Michal Oleksiejczuk,180,-220,Blue
Magomed Mustafaev,Rafael Fiziev,120,-140,Red
Max Holloway,Dustin Poirier,-220,180,Blue
Kelvin Gastelum,Israel Adesanya,150,-170,Blue
Eryk Anders,Khalil Rountree Jr.,-185,160,Blue
Alan Jouban,Dwight Grant,110,-130,Blue
Ovince Saint Preux,Nikita Krylov,115,-135,Blue
Jalin Turner,Matt Frevola,-165,145,Blue
Wilson Reis,Alexandre Pantoja,150,-170,Blue
Max Griffin,Zelim Imadaev,110,-130,Red
Boston Salmon,Khalid Taha,-175,155,Blue
Curtis Millender,Belal Muhammad,135,-155,Blue
Montel Jackson,Andre Soukhamthath,-600,450,Red
Lauren Mueller,Poliana Botelho,145,-165,Blue
Brandon Davis,Randy Costa,-190,165,Red
Edson Barboza,Justin Gaethje,-120,100,Blue
David Branch,Jack Hermansson,130,-150,Blue
Josh Emmett,Michael Johnson,130,-150,Red
Karolina Kowalkiewicz,Michelle Waterson,-160,140,Blue
Kennedy Nzechukwu,Paul Craig,-185,160,Blue
Sodiq Yusuff,Sheymon Moraes,-145,125,Red
Marina Rodriguez,Jessica Aguilar,-350,290,Red
Ross Pearson,Desmond Green,450,-600,Blue
Enrique Barzola,Kevin Aguilar,-125,105,Blue
Kevin Holland,Gerald Meerschaert,-225,185,Red
Ray Borg,Casey Kenney,-230,190,Blue
Sabina Mazo,Maryna Moroz,-165,145,Blue
Alex Perez,Mark De La Rosa,-365,328,Red
Stephen Thompson,Anthony Pettis,-430,345,Blue
Curtis Blaydes,Justin Willis,-275,235,Red
John Makdessi,Jesus Pinedo,-300,250,Red
Jussier Formiga,Deiveson Figueiredo,150,-170,Red
Luis Pena,Steven Peterson,-225,185,Red
Maycee Barber,JJ Aldrich,-275,235,Red
Bryce Mitchell,Bobby Moffett,130,-150,Red
Marlon Vera,Frankie Saenz,-170,150,Red
Alexis Davis,Jennifer Maia,-145,125,Blue
Randa Markos,Angela Hill,135,-155,Red
Ryan MacDonald,Chris Gutierrez,260,-320,Blue
Eric Shelton,Jordan Espinosa,-130,110,Blue
Darren Till,Jorge Masvidal,-225,185,Blue
Leon Edwards,Gunnar Nelson,-140,120,Red
Volkan Oezdemir,Dominick Reyes,220,-260,Blue
Nathaniel Wood,Jose Quinonez,-335,275,Red
Danny Roberts,Claudio Silva,130,-150,Blue
Jack Marshman,John Phillips,-135,115,Red
Arnold Allen,Jordan Rinaldi,-150,130,Red
Marc Diakiese,Joe Duffy,165,-190,Red
Nicolae Negumereanu,Saparbeg Safarov,-170,150,Blue
Danny Henry,Dan Ige,130,-140,Blue
Molly McCann,Priscila Cachoeira,-175,155,Red
Mike Grundy,Nad Narimani,310,-340,Red
Derrick Lewis,Junior Dos Santos,200,-240,Blue
Elizeu Zaleski dos Santos,Curtis Millender,100,-120,Red
Tim Means,Niko Price,-210,175,Blue
Blagoy Ivanov,Ben Rothwell,100,-120,Red
Beneil Dariush,Drew Dober,-220,180,Red
Tim Boetsch,Omari Akhmedov,135,-155,Blue
Anthony Rocco Martin,Sergio Moraes,-240,200,Red
Marion Reneau,Yana Kunitskaya,195,-235,Blue
Grant Dawson,Julian Erosa,-200,170,Red
Maurice Greene,Jeff Hughes,215,-255,Red
Louis Smolka,Matt Schnell,-130,110,Blue
Alex Morono,Zak Ottow,-175,155,Red
Alex White,Dan Moret,-135,115,Red
Jon Jones,Anthony Smith,-800,550,Red
Tyron Woodley,Kamaru Usman,-190,165,Blue
Robbie Lawler,Ben Askren,240,-280,Blue
Tecia Torres,Weili Zhang,125,-145,Blue
Cody Garbrandt,Pedro Munhoz,-160,140,Blue
Jeremy Stephens,Zabit Magomedsharipov,260,-320,Blue
Misha Cirkunov,Johnny Walker,155,-175,Blue
Cody Stamann,Alejandro Perez,-170,150,Red
Diego Sanchez,Mickey Gall,200,-240,Red
Edmen Shahbazyan,Charles Byrd,-150,130,Red
Gina Mazany,Macy Chiasson,415,-525,Blue
Polyana Viana,Hannah Cifers,-280,240,Blue
Jan Blachowicz,Thiago Santos,110,-130,Blue
Stefan Struve,Marcos Rogerio de Lima,-115,-105,Red
Gian Villante,Michal Oleksiejczuk,180,-220,Blue
Liz Carmouche,Lucie Pudilova,-155,135,Red
John Dodson,Petr Yan,225,-265,Blue
Magomed Ankalaev,Klidson Abreu,-210,175,Red
Dwight Grant,Carlo Pedersoli,140,-160,Red
Daniel Teymur,Chris Fishgold,205,-245,Blue
Veronica Macedo,Gillian Robertson,158,-180,Blue
Damir Hadzovic,Polo Reyes,-325,265,Red
Michel Prazeres,Ismail Naurdiev,-470,375,Blue
Rustam Khabilov,Diego Ferreira,-140,120,Blue
Damir Ismagulov,Joel Alvarez,-325,265,Red
Francis Ngannou,Cain Velasquez,175,-210,Red
James Vick,Paul Felder,-120,100,Blue
Cortney Casey,Cynthia Calvillo,295,-355,Blue
Alex Caceres,Kron Gracie,245,-290,Blue
Vicente Luque,Bryan Barberena,-470,375,Red
Andre Fili,Myles Jury,130,-150,Red
Jimmie Rivera,Aljamain Sterling,-135,115,Blue
Benito Lopez,Manny Bermudez,170,-200,Blue
Ashlee Evans-Smith,Andrea Lee,160,-185,Blue
Scott Holtzman,Nik Lentz,-160,140,Blue
Renan Barao,Luke Sanders,130,-150,Blue
Alexandra Albu,Emily Whitmire,-110,-110,Blue
Israel Adesanya,Anderson Silva,-515,410,Red
Lando Vannata,Marcos Mariano,-450,360,Red
Rani Yahya,Ricky Simon,-115,-105,Blue
Montana De La Rosa,Nadia Kassem,-250,210,Red
Jimmy Crute,Sam Alvey,-145,125,Red
Devonte Smith,Dong Hyun Ma,-270,230,Red
Shane Young,Austin Arnett,-380,315,Red
Kai Kara-France,Raulian Paiva,-265,220,Red
Teruto Ishihara,Kyung Ho Kang,290,-350,Blue
Callan Potter,Jalin Turner,190,-230,Blue
Wuliji Buren,Jonathan Martinez,105,-125,Blue
Raphael Assuncao,Marlon Moraes,130,-150,Blue
Jose Aldo,Renato Moicano,-110,-110,Red
Demian Maia,Lyman Good,-200,170,Red
Charles Oliveira,David Teymur,-120,100,Red
Johnny Walker,Justin Ledet,-235,195,Red
Livinha Souza,Sarah Frota,-230,190,Red
Markus Perez,Anthony Hernandez,115,-135,Red
Mara Romero Borella,Taila Santos,185,-225,Red
Thiago Alves,Max Griffin,160,-185,Red
Junior Albini,Jairzinho Rozenstruik,-145,125,Blue
Geraldo de Freitas,Felipe Colares,-130,110,Red
Ricardo Ramos,Said Nurmagomedov,-170,150,Blue
Magomed Bibulatov,Rogerio Bontorin,-290,245,Blue
Henry Cejudo,TJ Dillashaw,185,-225,Red
Greg Hardy,Allen Crowder,-450,360,Blue
Gregor Gillespie,Yancy Medeiros,-470,375,Red
Joseph Benavidez,Dustin Ortiz,-240,200,Red
Paige VanZant,Rachael Ostovich,-175,155,Red
Glover Teixeira,Karl Roberson,-110,-110,Red
Alexander Hernandez,Donald Cerrone,-220,180,Blue
Joanne Calderwood,Ariane Lipski,215,-255,Red
Alonzo Menifield,Vinicius Moreira,-290,245,Red
Cory Sandhagen,Mario Bautista,-525,415,Red
Dennis Bermudez,Te Edwards,105,-125,Red
Belal Muhammad,Geoff Neal,170,-200,Blue
Kyle Stewart,Chance Rencountre,-165,145,Blue
Jon Jones,Alexander Gustafsson,-290,245,Red
Cris Cyborg,Amanda Nunes,-210,175,Blue
Carlos Condit,Michael Chiesa,-105,-115,Blue
Ilir Latifi,Corey Anderson,-130,110,Blue
Chad Mendes,Alexander Volkanovski,-140,120,Blue
Cat Zingano,Megan Anderson,-130,120,Blue
Douglas Silva de Andrade,Petr Yan,290,-350,Blue
BJ Penn,Ryan Hall,365,-460,Blue
Nathaniel Wood,Andre Ewell,-120,100,Red
Uriah Hall,Bevon Lewis,150,-170,Red
Curtis Millender,Siyar Bahadurzada,-150,130,Red
Brian Kelleher,Montel Jackson,155,-175,Blue
Kevin Lee,Al Iaquinta,-335,275,Blue
Edson Barboza,Dan Hooker,-105,-115,Red
Rob Font,Sergio Pettis,-165,145,Red
Jim Miller,Charles Oliveira,255,-310,Blue
Zak Ottow,Dwight Grant,230,-270,Red
Bobby Green,Drakkar Klose,210,-250,Blue
Jared Gordon,Joaquim Silva,-115,-105,Blue
Gerald Meerschaert,Jack Hermansson,130,-150,Blue
Trevor Smith,Zak Cummings,270,-330,Blue
Dan Ige,Jordan Griffin,-165,145,Red
Adam Milstead,Mike Rodriguez,-110,-110,Blue
Chris de la Rocha,Juan Adams,375,-470,Blue
Max Holloway,Brian Ortega,-110,-110,Red
Valentina Shevchenko,Joanna Jedrzejczyk,-300,250,Red
Alex Oliveira,Gunnar Nelson,135,-155,Blue
Hakeem Dawodu,Kyle Bochniak,-200,170,Red
Jimi Manuwa,Thiago Santos,160,-185,Blue
Claudia Gadelha,Nina Ansaroff,-310,255,Blue
Olivier Aubin-Mercier,Gilbert Burns,-135,115,Blue
Katlyn Chookagian,Jessica Eye,-235,195,Blue
Elias Theodorou,Eryk Anders,-125,105,Red
Brad Katona,Matthew Lopez,-160,140,Red
Chad Laprise,Dhiego Lima,-400,325,Blue
Diego Ferreira,Kyle Nelson,-550,425,Red
Devin Clark,Aleksandar Rakic,435,-570,Blue
Junior Dos Santos,Tai Tuivasa,-160,140,Red
Mauricio Rua,Tyson Pedro,415,-525,Red
Mark Hunt,Justin Willis,-110,-110,Blue
Jake Matthews,Anthony Rocco Martin,-150,130,Blue
Suman Mokhtarian,Sodiq Yusuff,450,-600,Blue
Jimmy Crute,Paul Craig,-290,245,Red
Yushin Okami,Aleksei Kunchenko,250,-300,Blue
Wilson Reis,Ben Nguyen,125,-145,Red
Keita Nakamura,Salim Touahri,-155,135,Red
Elias Garcia,Kai Kara-France,300,-360,Blue
Mizuto Hirota,Christos Giagos,310,-370,Blue
Alex Gorgees,Damir Ismagulov,425,-550,Blue
Rafael Dos Anjos,Kamaru Usman,270,-330,Blue
Juan Espino,Justin Frazier,-175,155,Red
Pannie Kianzad,Macy Chiasson,-115,-105,Blue
Pedro Munhoz,Bryan Caraway,-290,245,Red
Darren Stewart,Edmen Shahbazyan,100,-120,Blue
Ji Yeon Kim,Antonina Shevchenko,235,-275,Blue
Rick Glenn,Kevin Aguilar,-125,105,Blue
Joseph Benavidez,Alex Perez,100,-120,Red
Maurice Greene,Michel Batista,-140,120,Red
Julija Stoliarenko,Leah Letson,170,-200,Blue
Roosevelt Roberts,Darrell Horcher,-340,280,Red
Tim Means,Ricky Rainey,-340,280,Red
Raoni Barcelos,Chris Gutierrez,-550,425,Red
Curtis Blaydes,Francis Ngannou,-240,200,Blue
Alistair Overeem,Sergei Pavlovich,115,-135,Red
Song Yadong,Vince Morales,-550,425,Red
Li Jingliang,David Zawada,-220,180,Red
Song Kenan,Alex Morono,-140,120,Blue
Wu Yanan,Lauren Mueller,290,-350,Red
Hu Yaozong,Rashad Coulter,-125,105,Blue
Weili Zhang,Jessica Aguilar,-550,425,Red
Liu Pingyuan,Martin Day,-170,150,Red
Yan Xiaonan,Syuri Kondo,-360,300,Red
Kevin Holland,John Phillips,-590,445,Red
Su Mudaerji,Louis Smolka,150,-170,Blue
Neil Magny,Santiago Ponzinibbio,175,-210,Blue
Ricardo Lamas,Darren Elkins,-175,155,Red
Khalil Rountree Jr.,Johnny Walker,-155,135,Blue
Cezar Ferreira,Ian Heinisch,-185,160,Blue
Guido Cannetti,Marlon Vera,260,-320,Blue
Cynthia Calvillo,Poliana Botelho,150,-170,Red
Michel Prazeres,Bartosz Fabinski,-145,125,Red
Alexandre Pantoja,Ulka Sasaki,-320,260,Red
Humberto Bandenay,Austin Arnett,-235,195,Blue
Laureano Staropoli,Hector Aldana,100,-120,Red
Devin Powell,Jesus Pinedo,200,-240,Blue
Nad Narimani,Anderson Dos Santos,-420,335,Red
Chan Sung Jung,Yair Rodriguez,110,-130,Blue
Donald Cerrone,Mike Perry,170,-200,Red
Raquel Pennington,Germaine de Randamie,180,-220,Blue
Beneil Dariush,Thiago Moises,-160,140,Red
Maycee Barber,Hannah Cifers,-470,375,Red
Michael Trizano,Luis Pena,145,-165,Red
Ashley Yoder,Amanda Cooper,-140,120,Red
Chas Skelly,Bobby Moffett,100,-120,Blue
Davi Ramos,John Gunther,-1000,650,Red
Devonte Smith,Julian Erosa,-230,210,Red
Joseph Morales,Eric Shelton,125,-145,Blue
Mark De La Rosa,Joby Sanchez,-230,190,Red
Daniel Cormier,Derrick Lewis,-380,315,Red
Chris Weidman,Jacare Souza,-160,140,Blue
David Branch,Jared Cannonier,-325,265,Blue
Karl Roberson,Jack Marshman,-325,265,Red
Derek Brunson,Israel Adesanya,245,-290,Blue
Jason Knight,Jordan Rinaldi,-300,250,Blue
Sijara Eubanks,Roxanne Modafferi,-600,450,Red
Julio Arce,Sheymon Moraes,-255,215,Blue
Lyman Good,Ben Saunders,-630,465,Red
Shane Burgos,Kurt Holobaugh,-400,325,Red
Adam Wieczorek,Marcos Rogerio de Lima,-170,150,Blue
Volkan Oezdemir,Anthony Smith,-160,140,Blue
Michael Johnson,Artem Lobov,-700,500,Red
Misha Cirkunov,Patrick Cummins,-345,285,Red
Andre Soukhamthath,Jonathan Martinez,-140,120,Red
Gian Villante,Ed Herman,-235,195,Red
Alex Garcia,Court McGee,-245,205,Blue
Nordine Taleb,Sean Strickland,-120,100,Blue
