Track,Horse,BetType,Odds,Winner
Wolverhampton,Project Bluebook,Win,2.37,Win
Kempton,Mystical Sapphire,Win,4.5,Lose
Ludlow,Hollywoodien,Win,4,Lose
Meydan,Pure Diamond,Each Way,6.5,Win
Meydan,Elleval,Each Way,7.5,Lose
Galway,Fingals Cave,Win,3.5,Lose
Newbury,Walking In The Air,Win,2.25,Lose
Lingfield,Clement,Each Way,5.5,Lose
Lingfield,The Magic Pencil,Each Way,4.5,Lose
Dundalk,Alnahar,Each Way,6.5,Win
Newbury,Rock Gone,Win,5,Lose
Galway,Gala Ball,Each Way,8.5,Win
Meydan,Faulkner,Each Way,9,Win
Lingfield,Jaadu,Each Way,41,Win
Naas,Attribution,Win,4.5,Lose
Naas,Katnap,Each Way,4.5,Lose
Wolverhampton,Mallymkun,Win,3.5,Lose
Wolverhampton,First Mohican,Each Way,5,Lose
SouthWell,Weald Of Kent,Win,2.88,Lose
Exeter,Sonny The One,Win,2.88,Lose
SouthWell,Tatting,Win,3.25,Win
Lingfield,Pink Martini,Win,4.5,Lose
Lingfield,Hot Stuff,Win,4,Lose
SouthWell,Swift Cedar,Each Way,8,Win
SouthWell,Sir Billy Wright,Each Way,4.5,Lose
Chelmsford,Mange All,Each Way,5.5,Lose
Chelmsford,Coillte Cailin,Win,4.33,Lose
Sandown,Doctor Look Here,Each Way,11,Lose
Sandown,The Brock Again,Win,2,Lose
Chelmsford,Saved My Bacon,Win,2.62,Lose
Dundalk,Wither Hills,Each Way,11,Lose
Sandown,Will OThe West,Each Way,17,Lose
Sandown,Flashjack,Each Way,13,Lose
Sandown,Sirop De Menthe,Each Way,26,Lose
Sandown,Avellino,Each Way,9,Lose
Wolverhampton,Ikerrin Road,Each Way,6,Win
Kelso,The Dutchman,Win,17,Lose
Kelso,Lake View Lad,Win,6,Lose
Warwick,Streets Of Promise,Win,5,Lose
Navan,Kilford,Each Way,5,Win
Taunton,Bonne Question,Win,2.75,Lose
Taunton,Masters Hill,Win,3.5,Lose
Cheltenham,Min,Win,3.25,Lose
Cheltenham,Douvan,Win,1.4,Win
Cheltenham,Morning Assembly,Each Way,15,Win
Cheltenham,Identity Thief,Each Way,8.5,Lose
SouthWell,Greyfriarschorista,Each Way,5.5,Lose
Cheltenham,Vroum Vroum Mag,Win,2.1,Win
Cheltenham,The Govaness,Each Way,17,Lose
Cheltenham,Ballychorus,Each Way,13,Lose
Cheltenham,Mckinley,Each Way,17,Lose
Cheltenham,Yorkhill,Win,4,Win
Cheltenham,No More Heroes,Win,3.75,Lose
Cheltenham,Arbre De Vie,Each Way,15,Lose
Cheltenham,Un De Sceaux,Win,1.83,Lose
Cheltenham,Gods Own,Each Way,34,Lose
Cheltenham,Felix Yonger,Each Way,17,Lose
Cheltenham,Josies Orders,Win,3.75,Lose
Cheltenham,Campeador,Win,10,Lose
Cheltenham,Lucky Pass,Each Way,17,Lose
Cheltenham,First Figaro,Win,17,Lose
Cheltenham,Outlander,Win,6,Lose
Cheltenham,Bristol De Mai,Each Way,17,Win
Cheltenham,Leave At Dawn,Win,8,Lose
Cheltenham,Vautour,Win,2,Win
Cheltenham,Josses Hill,Each Way,13,Lose
Cheltenham,Village Vic,Each Way,15,Lose
Down Royal,Colms Dream,Win,1.9,Win
Cheltenham,Alpha Des Obeaux,Each Way,9,Win
Cheltenham,Alpha Des Obeaux,Win,9,Lose
Cheltenham,Stilletto,Each Way,11,Lose
Cheltenham,Empire Of Dirt,Win,21,Win
Cheltenham,Limini,Win,1.73,Win
Cheltenham,Upswing,Each Way,9,Lose
Cheltenham,Cause Of Causes,Win,7.5,Win
Chelmsford,Saved My Bacon,Win,3,Lose
Cheltenham,Apples Jade,Each Way,17,Win
Cheltenham,Lets Dance,Each Way,15,Win
Cheltenham,Fethard Player,Each Way,41,Win
Cheltenham,Blue Hell,Each Way,11,Lose
Cheltenham,Gangster,Win,8.5,Lose
Cheltenham,Djakadam,Win,4.33,Lose
Cheltenham,On The Fringe,Win,4,Win
Cheltenham,Jetstream Jack,Win,15,Lose
Cheltenham,Squouateur,Win,5.5,Lose
Cheltenham,Rock The World,Each Way,12,Win
Dundalk,Tom Dooley,Win,3.25,Lose
Uttoxeter,April Dusk,Each Way,7.5,Lose
Fontwell,Sunshine Corner,Win,5,Win
Kempton,Simply A Legend,Each Way,23,Win
Fontwell,Bigmartre,Win,3,Lose
Ffos Las,Preseli Rock,Win,3.75,Lose
Downpatrick,De Plotting Shed,Win,3.25,Lose
Curragh,Master Speaker,Each Way,13,Lose
Curragh,Bubbly Bellini,Each Way,11,Win
Curragh,Aussie Valentine,Each Way,13,Win
SouthWell,Thoonavolla,Each Way,4.5,Win
SouthWell,Monkhouse,Win,2.75,Lose
Exeter,Henryville,Win,2.3,Win
Wetherby,Top Cat Henry,Each Way,9.5,Win
SouthWell,Palpitation,Win,2.75,Win
SouthWell,Fine N Dandy,Win,4,Lose
Haydock,Sharpasaknife,Win,2.88,Win
Dundalk,Carried,Each Way,4.5,Win
Ludlow,Beallandendall,Win,2.75,Lose
Ludlow,Presenting Arms,Win,4,Lose
Ludlow,Grandioso,Each Way,7,Lose
Lingfield,Goken,Each Way,4.33,Win
Lingfield,Moonrise Landing,Win,3,Win
Wolverhampton,Gang Warfare,Each Way,4.5,Win
Lingfield,Sovereign Debt,Each Way,4,Win
Meydan,One Man Band,Each Way,11,Win
Meydan,Marking,Win,2.62,Lose
Haydock,Hannahs Princess,Each Way,7,Lose
Meydan,Naadir,Each Way,41,Lose
Haydock,Octagon,Each Way,17,Lose
Haydock,Caledonia,Each Way,15,Win
Meydan,Rich Tapestry,Each Way,13,Lose
Meydan,Tryster,Win,3.25,Lose
Meydan,Forries Waltz,Each Way,15,Lose
Meydan,Frosted,Win,3.5,Lose
Fairyhouse,Cashelard Lady,Each Way,11,Lose
Fairyhouse,Lift The Latch,Win,4,Lose
Cork,Nine Stitches,Each Way,17,Win
Sedgefield,General Mahler,Each Way,6.5,Win
Cork,Penny Pepper,Each Way,5,Win
Chepstow,Grey Gold,Each Way,5.5,Win
Fairyhouse,Value At Risk,Each Way,6,Win
Fairyhouse,Mala Beach,Each Way,13,Lose
Wolverhampton,Knights Table,Win,2.88,Lose
Fairyhouse,Top Gamble,Win,2.25,Win
Fairyhouse,Robin Thyme,Each Way,8.5,Lose
Fairyhouse,Desoto County,Win,3.5,Lose
Lingfield,Quality Song,Each Way,6,Win
SouthWell,Silver Bid,Each Way,8.5,Win
SouthWell,Daisy Bere,Each Way,4.5,Lose
Kempton,Isis Blue,Win,4,Lose
Aintree,Saint John Henry,Win,2.38,Lose
Ffos Las,Alfie Spinner,Win,3,Lose
Chelmsford,Eljaddaaf,Win,2.25,Lose
Fontwell,Bramble Brook,Each Way,6.5,Lose
Lingfield,Burning Thread,Win,5,Lose
Dundalk,Jamesie,Each Way,5,Win
Wolverhampton,Manjaam,Win,3.5,Win
Dundalk,Sea Of Blue,Each Way,6.5,Win
Doncaster,Secret Brief,Each Way,19,Win
Doncaster,Udododontu,Each Way,11,Lose
Kempton,Plucky Dip,Each Way,7,Lose
Doncaster,Mobsta,Each Way,15,Win
Newbury,Lady Of Lamanver,Each Way,7.5,Win
Newbury,Duke Street,Each Way,5,Win
Curragh,Callender,Win,1.91,Lose
Ascot,Consortium,Each Way,26,Lose
Ascot,Max Forte,Each Way,21,Win
Lingfield,Stormy Clouds,Win,2.2,Win
Warwick,Robin Of Locksley,Each Way,8,Lose
Pontefract,Surprise Vendor,Each Way,4,Lose
Fairyhouse,Glenwood For Ever,Each Way,9,Lose
Catterick,Sunraider,Each Way,11,Lose
Leopardstown,Claudio Monteverdi,Win,2,Win
Hamilton,Shamreen,Win,2.1,Lose
Leopardstown,Newberry New,Each Way,8,Lose
Aintree,Diego Du Charmil,Each Way,12,Lose
Aintree,Pacha Du Polder,Each Way,4.5,Lose
Aintree,Minella Present,Each Way,7.5,Lose
Limerick,Oiche Mhaith Boy,Each Way,4.5,Win
Aintree,Tycoon Prince,Each Way,9,Lose
Aintree,Ma Du Fou,Each Way,9,Lose
Aintree,Henri Parry Morgan,Each Way,17,Win
Aintree,Turban,Each Way,26,Lose
Aintree,Ballydine,Win,6,Lose
Aintree,Ballyoptic,Each Way,11,Win
Dundalk,Go Kart,Win,3.5,Lose
Aintree,Murrayana,Each Way,26,Win
Aintree,Ubak,Each Way,21,Win
Gowran Park,Ardmore,Each Way,10,Lose
Gowran Park,Newsman,Win,2.5,Lose
Chepstow,Grove Silver,Win,4,Lose
Aintree,Gallant Oscar,Each Way,34,Lose
Aintree,Rule The World,Each Way,51,Win
Aintree,Madfuninthewest,Each Way,17,Lose
Market Rasen,Colla Pier,Each Way,3.5,Win
Leopardstown,Jet Setting,Each Way,11,Win
Kelso,Road To Gold,Win,3.25,Lose
Kelso,Nakadam,Each Way,4.33,Win
Kelso,Veinard,Each Way,8,Lose
Exeter,Aurillac,Win,3,Lose
SouthWell,Star Ascending,Each Way,6.5,Win
Newmarket,Yeeoow,Each Way,17,Win
Beverley,Jollydee,Each Way,5.5,Lose
Cheltenham,Double Ws,Each Way,10,Lose
Cheltenham,Beallandendall,Each Way,11,Lose
Cheltenham,Yes I Did,Each Way,15,Lose
Cheltenham,Bon Chic,Win,4,Lose
Cheltenham,Goodbye Dancer,Each Way,15,Lose
Cheltenham,Long House Hall,Win,3.75,Lose
Ripon,Dominate,Each Way,7,Win
Ayr,Craiganboy,Each Way,7.5,Lose
Ayr,Gullys Edge,Win,6.5,Win
Ayr,Caledonia,Win,5,Lose
Dundalk,Roconga,Win,2.62,Win
Ayr,Smooth Stepper,Each Way,7.5,Lose
Ayr,Bristol De Mai,Win,2,Lose
Ayr,Clondaw Warrior,Win,5.5,Lose
Ayr,Chtibello,Win,9,Win
Ayr,Arbre De Vie,Each Way,5,Win
Navan,Deeds Not Words,Win,5.5,Lose
Navan,Battleroftheboyne,Win,8,Lose
Wincanton,Sonny The One,Each Way,6.5,Lose
Navan,The Gurkha,Win,3,Win
Huntingdon,Vinciaettis,Win,2.38,Lose
Windsor,Dominate,Win,3.75,Lose
Dundalk,Kasbah,Win,4,Lose
Windsor,Navigate,Win,4,Lose
Kempton,Mountain Eagle,Each Way,7.5,Lose
Wolverhampton,Inexes,Win,3.75,Lose
Ludlow,Tugboat,Win,2,Lose
Epsom,Claudio Monteverdi,Win,2.38,Lose
Perth,Barney Dwan,Win,5.5,Lose
Epsom,Clayton,Each Way,5.5,Lose
Perth,Top Of The Glas,Each Way,6,Win
Perth,Tomorrows Legend,Each Way,8,Win
Warwick,Conas Taoi,Win,3.75,Win
Tipperary,Doc Sportello,Each Way,5.5,Win
Tipperary,Bluesbreaker,Each Way,9,Win
Perth,Monbeg River,Win,4,Lose
Carlisle,Curious Carlos,Each Way,5.5,Win
Sandown,Rainbow Dreamer,Each Way,12,Lose
Leicester,Mitchum Swagger,Each Way,7.5,Lose
Sandown,Theatre Guide,Each Way,17,Lose
Leicester,Wowcha,Win,3,Lose
Doncaster,Burano,Each Way,3.5,Lose
Gowran Park,Penny Pepper,Each Way,8,Win
Gowran Park,Bocca Baciata,Win,3,Win
Gowran Park,Beechmount Whisper,Each Way,5,Win
Naas,In Salutem,Each Way,11,Lose
Naas,Mr Right,Each Way,6.5,Lose
Naas,Fort Del Oro,Each Way,4,Win
Windsor,All My Love,Win,3.25,Lose
Punchestown,Ancient Sands,Each Way,17,Win
Punchestown,Copy That,Win,6,Lose
Punchestown,Jenkins,Win,1.91,Lose
Punchestown,Henryville,Each Way,5.5,Lose
Hamilton,Shamiran,Win,21,Win
Punchestown,Pivot Bridge,Win,17,Lose
Ascot,Gifted Master,Win,4,Win
Punchestown,Moon Over Germany,Win,7.5,Lose
Punchestown,Coney Island,Win,8,Lose
Punchestown,Acapella Bourgeois,Win,6,Lose
Lingfield,Suqoor,Win,5.5,Win
Punchestown,Roconga,Win,9,Lose
Punchestown,Admiral Brian,Each Way,17,Lose
Punchestown,Alpha Des Obeaux,Win,2.5,Lose
Punchestown,Sonny B,Each Way,17,Lose
Punchestown,Haymount,Each Way,12,Lose
Chepstow,Medburn Dream,Win,4.33,Win
Punchestown,Mr Diablo,Each Way,17,Win
Fontwell,Ebadani,Each Way,4.5,Win
Punchestown,Jers Girl,Win,3,Win
Punchestown,Marito,Each Way,6,Win
Goodwood,Rayvin Black,Win,3.5,Win
Goodwood,More Mischief,Each Way,21,Lose
Newmarket,Lancelot Du Lac,Each Way,21,Lose
Goodwood,Sinfonietta,Each Way,10,Win
Newmarket,Massaat,Each Way,15,Win
Punchestown,Slowmotion,Each Way,4,Lose
Punchestown,Archie Meade,Each Way,17,Lose
Newmarket,Terentum Star,Win,7,Lose
Newmarket,Dougan,Win,7.5,Lose
Sligo,Ducky Mallon,Each Way,9,Lose
Newmarket,Jet Setting,Win,26,Lose
Newmarket,Taqdeer,Win,2.88,Win
Warwick,Herons Heir,Win,5,Win
Curragh,Blue De Vega,Win,2.75,Lose
Bath,Hound Music,Win,5,Lose
Exeter,Morning Herald,Win,2.1,Win
Exeter,Easily Pleased,Each Way,8.5,Lose
Ballinrobe,Westerner Point,Each Way,6,Lose
Chester,Fiery Character,Win,2.25,Lose
Chester,Steve Rogers,Win,4.5,Lose
Chester,John Reel,Each Way,17,Lose
Chester,Roudee,Each Way,6.5,Win
Uttoxeter,Wotzizname,Win,2.38,Win
Chester,Above And Beyond,Each Way,5.5,Win
Clonmel,Double Fast,Each Way,7,Lose
Chester,Housesofparliament,Win,5.5,Lose
Auteuil,El Astronaute,Win,3.75,Lose
Cork,Rosie Alice,Each Way,6.5,Lose
Ascot,Cartmell Cleave,Each Way,4.5,Lose
Haydock,Chtibello,Each Way,5.5,Win
Lingfield,Seventh Heaven,Win,4.5,Win
Nottingham,Alqubbah,Each Way,6.5,Win
Ascot,The Warrior,Each Way,29,Lose
Ascot,Grand Inquisitor,Each Way,11,Lose
Nottingham,Rock Song,Win,4,Lose
Ludlow,Altesse De Guye,Each Way,4.5,Win
Limerick,Deans Road,Win,3.25,Win
Warwick,The Tourard Man,Win,3.5,Win
Warwick,Fort Carson,Each Way,7,Win
SouthWell,Vinegar Hill,Win,2.75,Win
Goodwood,The Warrior,Each Way,5.5,Lose
Worcester,Fountains Blossom,Each Way,4.5,Win
Worcester,Perspicace,Each Way,3.75,Win
Goodwood,Prize Money,Win,2.1,Lose
Downpatrick,Rise Of An Empire,Win,2.1,Win
Cork,Cappadocia,Each Way,5,Lose
Haydock,Red Vernon,Win,2.5,Win
Haydock,Matorico,Win,3.5,Lose
York,Appeared,Win,3,Lose
Curragh,In Salutem,Each Way,6.5,Win
Curragh,Roly Poly,Each Way,5,Lose
Curragh,Fort Del Oro,Each Way,4,Lose
Curragh,Blue De Vega,Each Way,11,Win
Curragh,Jet Setting,Each Way,17,Win
Curragh,Canary Row,Each Way,12,Win
Sligo,Mystic Princess,Win,7,Lose
Windsor,Flowers On Venus,Each Way,5.5,Lose
Windsor,Zambeasy,Each Way,11,Win
Hamilton,Maz Majecc,Each Way,4.5,Lose
Wetherby,Just Be Lucky,Each Way,4,Win
SouthWell,Carrigkerry,Win,4,Win
Lingfield,George Cinq,Each Way,5,Win
Gowran Park,Mizaah,Each Way,4,Win
Chester,Chestnut Fire,Each Way,10,Lose
Sandown,Forge,Win,3,Lose
Newcastle,Coto,Each Way,3.5,Win
Bath,Against The Odds,Win,6,Lose
Down Royal,Wakea,Win,1.8,Win
Down Royal,Kig Blue,Each Way,5,Lose
Haydock,Rousayan,Each Way,9,Win
Haydock,Laganore,Each Way,6.5,Lose
Navan,Sweetest Taboo,Each Way,6.5,Win
Navan,Seeyouallincoppers,Win,3.5,Lose
Ffos Las,Maxi Chop,Win,2.62,Lose
Kelso,Martila,Each Way,13,Win
Kelso,Move To The Groove,Win,4.5,Win
Naas,Yulong Baobe,Each Way,8,Win
Naas,Unyielding,Each Way,6,Lose
Cartmel,Chase The Wind,Win,8.5,Lose
Windsor,Kinglami,Each Way,15,Lose
Ballinrobe,Josephine Marcus,Win,7,Lose
Ballinrobe,Isabellla Liberty,Win,5.5,Lose
Ballinrobe,Libertys Gift,Win,6,Lose
Ballinrobe,Rebel Cry,Win,4.5,Lose
Towcester,Kayla,Win,3,Win
Wolverhampton,Pleaseletmewin,Win,4,Win
Ballinrobe,Bright Tomorrow,Each Way,4.5,Win
Punchestown,Mr Fiftyone,Win,4.5,Win
Punchestown,Ancient Sands,Each Way,8,Win
Fairyhouse,Power Grid,Win,8.5,Lose
Kempton,Munthahaa,Win,2,Win
Ffos Las,Carrigkerry,Win,2.25,Lose
Epsom,Felix De Vega,Each Way,10,Lose
Epsom,Skiffle,Each Way,7,Lose
Market Rasen,Moss On The Mill,Each Way,4,Win
Epsom,Scrutineer,Each Way,5.5,Lose
Leopardstown,Knights Templar,Each Way,12,Lose
Leopardstown,Duchessofflorence,Win,5.5,Lose
Leopardstown,Maronella,Each Way,13,Lose
Leopardstown,Secret Splendour,Win,5,Lose
Epsom,Poets Word,Win,4,Lose
Worcester,Gioia De Vita,Each Way,5.5,Lose
Epsom,Red Verdon,Each Way,21,Lose
Epsom,Barwick,Each Way,13,Lose
Curragh,Dark Alliance,Each Way,9,Lose
Curragh,Ducky Mallon,Each Way,8,Lose
Curragh,Dodgybingo,Each Way,11,Lose
Curragh,Newsman,Each Way,5,Win
Kilbeggan,Supreme Vinnie,Win,2.1,Win
Goodwood,Pettochside,Win,3.75,Lose
Listowel,Approcaillis,Each Way,6,Lose
Listowel,Ah Littleluck,Win,5,Win
Gowran Park,Phebes Dream,Each Way,6,Win
Windsor,Wiley Post,Win,4.5,Lose
Salisbury,White Poppy,Win,4,Win
Fontwell,Newton Geronimo,Each Way,10,Win
SouthWell,Bon Chic,Win,4,Win
Yarmouth,Shahaama,Each Way,7.5,Lose
Fairyhouse,Mostawfee,Each Way,12,Lose
Hamilton,Giant Spark,Win,2.25,Lose
Newbury,Abingdon,Win,3.75,Win
Leopardstown,Tennessee Wildcat,Each Way,5,Win
Uttoxeter,Big Sound,Each Way,6,Win
Uttoxeter,Mrs Burbridge,Win,2.62,Lose
York,Kip,Each Way,4.5,Lose
Newton Abbot,Peruvien Bleu,Each Way,9,Win
Clonmel,Charlottes Chum,Win,5.5,Lose
Sandown,Dolphin Vista,Each Way,5.5,Lose
Chester,Reflektor,Win,3,Lose
Navan,Ceol Na Nog,Win,2.75,Win
Limerick,Flaviana,Win,7.5,Lose
Limerick,Sweet Little Lies,Each Way,9,Lose
Downpatrick,Josephine Marcus,Win,4.5,Lose
Salisbury,A Moment Of Madness,Win,2.62,Win
Cork,Alveena,Win,3.5,Win
Cork,Mandamus,Each Way,34,Lose
Windsor,Upstaging,Each Way,7,Win
Ascot,Belardo,Each Way,5.5,Win
Ascot,Endless Drama,Win,7.5,Lose
Ascot,Carvaggio,Win,4.5,Win
Ascot,Yalta,Win,8,Lose
Ascot,Profitable,Each Way,9,Win
Ascot,Sempre Medici,Each Way,10,Lose
Ascot,Jennies Jewel,Each Way,8,Win
Ascot,Mister Trader,Each Way,6,Lose
Roscommon,Derulo,Win,4.5,Lose
Ascot,Remarkable,Each Way,12,Lose
Ascot,Ribchester,Each Way,10,Win
Ascot,Roly Poly,Each Way,13,Lose
Ascot,Earth Drummer,Each Way,17,Lose
Ascot,Donncha,Each Way,15,Lose
Ripon,My Amigo,Each Way,5,Win
Ascot,Blue De Vega,Each Way,6,Lose
Ascot,Clever Cookie,Each Way,13,Lose
Ascot,Pacodali,Each Way,51,Lose
Ascot,Defrocked,Each Way,11,Win
Ascot,Shraaoh,Each Way,5.5,Lose
Ascot,Quiet Reflection,Win,3,Win
Ascot,Jet Setting,Win,4.33,Lose
Ascot,Ivan Grozny,Each Way,13,Lose
Down Royal,Shan Dun Na Ngall,Each Way,5.5,Lose
Newmarket,Blackout,Each Way,5,Win
Ascot,Mount Logan,Each Way,21,Lose
Ascot,Astronerous,Each Way,26,Lose
Ascot,The Tin Man,Each Way,5.5,Lose
Ascot,The Happy Prince,Each Way,19,Lose
Ascot,Burnt Sugar,Each Way,34,Lose
Ascot,Oriental Fox,Each Way,6,Lose
Newmarket,Gunmetal,Each Way,4.5,Win
Gowran Park,Expreso Brasileiro,Each Way,4.5,Lose
Worcester,Eddiemaurice,Each Way,4,Win
Kilbeggan,Supreme Vinnie,Win,13,Win
Kilbeggan,Do Try Dolly,Each Way,7,Lose
Windsor,Indulged,Win,2.5,Lose
Kilbeggan,Heron Heights,Win,13,Lose
Beverley,Final,Win,3.25,Win
Ballinrobe,Motherland,Win,2.5,Win
Leicester,Ninepointsixthree,Each Way,9,Lose
Ballinrobe,Petuna,Each Way,6.5,Win
Carlisle,Masterpaver,Each Way,4,Win
Kempton,Francos Secret,Each Way,7,Win
Naas,Evie Be Kool,Each Way,8,Lose
Newmarket,Pixeleen,Each Way,7,Lose
Huntingdon,Gold Hunter,Each Way,7,Lose
Leopardstown,Eagle Spirit,Win,2.38,Win
Yarmouth,Red Cardinal,Win,2,Win
Cartmel,Shady Glen,Win,4.33,Lose
Cartmel,Wiffy Chatsby,Win,3,Lose
Yarmouth,Knight Owl,Win,2.5,Lose
Curragh,Avenante,Each Way,10,Win
Chester,Arcanda,Each Way,3.75,Win
Curragh,Hasanour,Win,6.5,Lose
Curragh,Champagne Or Water,Win,6,Lose
Newcastle,Gabrial The Hero,Each Way,11,Lose
Newcastle,Arch Villain,Each Way,17,Lose
Windsor,Red Tea,Each Way,3.75,Win
Chester,Perspicace,Each Way,4,Lose
Curragh,Midnitemudcrabs,Each Way,13,Lose
Curragh,Flying Fairies,Each Way,8,Lose
Curragh,Arcada,Each Way,5.5,Lose
Uttoxeter,Nikki Steel,Win,2.1,Lose
Cartmel,Morning Royalty,Win,4,Lose
Uttoxeter,Sharp Rise,Win,5,Win
Curragh,Ardhoomey,Each Way,7.5,Lose
Curragh,Eddystone Rock,Each Way,4.5,Win
Pontefract,Hanseatic,Each Way,7,Win
Musselburgh,Tonto Spirit,Win,3.75,Lose
Hamilton,Line Of Reason,Win,2.5,Lose
Stratford,Annie Alainn,Win,6.5,Lose
Worcester,Preseli Rock,Win,1.83,Lose
Fairyhouse,Colla Pier,Each Way,4.5,Win
Fairyhouse,Dodgybingo,Each Way,11,Lose
Haydock,Sir Theodore,Win,4,Lose
Yarmouth,Awesome Quality,Win,3.75,Lose
Tipperary,Lilly The Lioness,Each Way,2.5,Win
Newton Abbot,Peruvien Bleu,Each Way,10,Win
Sandown,Spark Plug,Win,5.5,Lose
Beverley,Viscount Barfield,Win,2.1,Lose
Haydock,Ok By Me,Each Way,21,Lose
Sandown,Willytheconqueror,Each Way,13,Lose
Haydock,Loving Things,Each Way,7.5,Lose
Haydock,Green Light,Each Way,10,Lose
Sandown,Snow Moon,Each Way,5,Lose
Nottingham,Indian Chief,Win,2.1,Win
Market Rasen,Party Rock,Win,2.8,Lose
Limerick,Isabella Liberty,Each Way,4.5,Lose
Limerick,The Herds Garden,Each Way,6,Lose
Worcester,Barman,Win,2.75,Win
Roscommon,Ecoeye,Win,3.8,Win
Roscommon,Midnitemudcrabs,Win,4,Lose
Brighton,Majoris,Win,2.1,Win
Roscommon,Delegate,Win,2.5,Win
Roscommon,Icelip,Each Way,10,Win
Lingfield,Sea Fox,Win,1.91,Win
Kempton,Dolphin Village,Each Way,4,Win
Newmarket,Barrington,Each Way,26,Lose
Newmarket,Yalta,Each Way,15,Lose
Newmarket,Dancing Star,Each Way,9,Win
Doncaster,Pirouette,Win,6.5,Win
Leopardstown,Total Demolition,Each Way,6,Lose
Newmarket,Blair House,Win,4.5,Lose
Ascot,Afandem,Win,4.3,Lose
Ascot,Masterpaver,Each Way,5.5,Lose
York,Mayfair Lady,Win,4.5,Lose
Ascot,Rio Ronaldo,Each Way,13,Lose
Newmarket,Fieldsman,Each Way,21,Lose
Chepstow,Satchville Flyer,Win,3.5,Lose
Ascot,Dougan,Each Way,13,Lose
Ascot,Mutakayyef,Each Way,6.5,Win
Newmarket,Magical Memory,Each Way,7,Lose
York,Marsha,Each Way,8.5,Win
Ascot,Wave Reviews,Each Way,8.5,Lose
Fairyhouse,Delegating,Each Way,7.5,Lose
Fairyhouse,Time To Reason,Each Way,6.5,Win
Sligo,Yes Man,Each Way,6,Lose
Windsor,Fabric,Win,3.3,Lose
Dundee,Crocodile Dundee,Each Way,7.5,Win
Bath,Dark Shot,Win,4.4,Lose
Dundee,Yamato,Each Way,9,Win
Beverley,St Michel,Win,1.9,Win
Worcester,Samtu,Win,4,Lose
Killarney,Tiger Roll,Win,3.3,Lose
Lingfield,Gothic Empire,Win,8,Lose
Downpatrick,Magnetic Force,Win,3.3,Lose
Downpatrick,Emma Beag,Win,3.3,Lose
Chepstow,Feed The Goater,Each Way,5.5,Win
Killarney,Time For Mabel,Each Way,8,Win
Leicester,Satchville Flyer,Each Way,5.5,Win
Epsom,Zaria,Each Way,6,Lose
Leopardstown,Tennessee Wildcat,Each Way,17,Lose
Haydock,Bossipop,Each Way,5.5,Lose
Nottingham,Marcano,Win,4.5,Lose
Kilbeggan,William Du Berlais,Win,2.1,Lose
Newmarket,Calvados Spirit,Win,9.5,Lose
Kilbeggan,Supreme Vinnie,Each Way,5.5,Lose
Kilbeggan,Duckweed,Each Way,13,Lose
Kilbeggan,Carriganog,Win,5,Lose
Market Rasen,Moabit,Each Way,7,Lose
Market Rasen,Golden Doyen,Each Way,12,Win
Curragh,Have A Nice Day,Each Way,11,Win
Newbury,Spiritual Lady,Each Way,9,Lose
Curragh,In Salutem,Each Way,13,Win
Curragh,Captain Cullen,Each Way,15,Lose
Curragh,Udogo,Each Way,9,Win
Curragh,Little Prairie,Each Way,10,Lose
Newton Abbot,Bulletproof,Each Way,9,Lose
Curragh,Bocca Baciata,Each Way,7,Win
Windsor,Pixeleen,Win,3.5,Lose
Ballinrobe,Belarusian,Win,3,Lose
Windsor,All My Love,Win,4.5,Lose
Ffos Las,Agerzam,Each Way,15,Win
Chelmsford,Certified,Win,2.8,Lose
Lingfield,Lajatico,Each Way,4.5,Win
Dundee,Dunnscotia,Each Way,5.5,Win
Carlisle,Mr Scarlet,Each Way,9,Win
Yarmouth,Grey Britain,Win,3.8,Lose
Sandown,St Michel,Win,2.4,Lose
Limerick,Heron Heights,Win,5,Win
Uttoxeter,Yes Daddy,Each Way,7,Win
Ascot,Continuum,Each Way,12,Lose
Ascot,Noble Silk,Each Way,6.5,Lose
Newmarket,Red Tea,Win,4.5,Win
Down Royal,Full Court Press,Win,2.4,Lose
Curragh,Curragh Golan,Each Way,4.5,Win
Chester,The Nazca Lines,Win,4,Lose
Ascot,Pirouette,Each Way,9,Win
Ascot,Taurean Star,Each Way,10,Lose
Chester,Viscount Barfield,Each Way,5.5,Win
Newmarket,Mont Kiara,Each Way,6.5,Win
Ascot,Dont Bother Me,Each Way,21,Lose
Ascot,Librisa Breeze,Each Way,11,Win
York,Kimberella,Each Way,7.5,Win
Salisbury,Imperial State,Win,3.5,Win
York,Equimou,Win,4.5,Lose
Pontefract,Maureb,Each Way,7,Win
Uttoxeter,Ablazing,Win,2.4,Win
Galway,Camlann,Each Way,5,Win
Galway,Flying Fairies,Each Way,11,Win
Windsor,Shypen,Each Way,8,Lose
Galway,Motherland,Each Way,4.5,Win
Goodwood,Snoano,Each Way,17,Lose
Goodwood,Oasis Fantasy,Each Way,17,Win
Yarmouth,Takatul,Win,3.3,Win
Galway,Tocororo,Each Way,5.5,Win
Galway,Gussy Goose,Each Way,17,Lose
Galway,Beau Satchel,Each Way,8,Win
Goodwood,Qatari Hunter,Each Way,8,Lose
Galway,Rathmuck Native,Each Way,9,Lose
Goodwood,Kyllang Rock,Each Way,23,Lose
Galway,Lord Scoundrel,Each Way,34,Win
