Track,Horse,BetType,Odds,Winner
Chelmsford,Kingscroft,Each Way,11,Lose
Wincanton,Dry Ol Party,Each Way,7.5,Win
Haydock,Mitchum Swagger,Win,2.5,Lose
Fakenham,Knock House,Win,2.38,Lose
Ascot,Flying Officer,Each Way,8,Win
Ascot,Fort Del Oro,Each Way,26,Lose
Ascot,The Tin Man,Each Way,9,Lose
Cork,In Salutem,Win,5,Lose
Ascot,Bocca Bacciata,Each Way,21,Lose
Ascot,Territories,Each Way,11,Lose
Ascot,The Corsican,Each Way,11,Lose
Market Rasen,Pain Au Chocolat,Win,4,Lose
Cork,Ibergman,Win,4,Lose
Wolverhampton,Debt Free Dame,Each Way,7,Lose
Cork,Crown Theatre,Each Way,9,Win
Naas,Avenante,Each Way,15,Lose
Windsor,Quatrieme Ami,Win,2.1,Win
Exeter,Bulletproof,Win,4,Lose
Windsor,Duchy,Each Way,6,Lose
Worcester,Doctor Phoenix,Win,13,Lose
Galway,Fergal Mael Duin,Win,2.38,Win
Navan,Bunk Off Early,Win,3,Lose
Kempton,Mr Bossy Boots,Each Way,7,Win
Ludlow,Breaking Bits,Each Way,5,Lose
Chelmsford,Best Example,Win,2.88,Win
Doncaster,Dolphin Vista,Win,4.5,Lose
Cheltenham,Rock The World,Win,3.5,Win
Cheltenham,Vintage Vinnie,Win,4,Lose
Doncaster,Maraakib,Win,3,Win
Cheltenham,Top Cat Henry,Each Way,6,Win
Wolverhampton,Cottesloe,Each Way,13,Lose
Cheltenham,Workbench,Each Way,10,Win
Newbury,Moderah,Each Way,7,Win
Newbury,Kastini,Each Way,8,Lose
Leopardstown,Blue De Vega,Win,3,Win
Newbury,Light Music,Win,2.38,Win
Newbury,Acclio,Each Way,17,Lose
Aintree,Duke Of Navan,Each Way,9,Lose
Aintree,La Bague Au Roi,Each Way,5,Win
Wincanton,Impulsive American,Win,4,Lose
Hamilton,Champagne Bob,Each Way,8,Win
Galway,Powersbomb,Each Way,7.5,Lose
Lingfield,Athenian Garden,Win,4,Lose
Listowel,Blacklister,Each Way,8,Lose
Wolverhampton,Berlusca,Win,3.5,Lose
Nottingham,Al,Win,2.38,Lose
Kempton,Arsty,Win,2.5,Lose
Kempton,Ladurelli,Each Way,5.5,Lose
Stratford,Faustina Pius,Each Way,11,Win
Lingfield,Mr Pickwick,Win,3,Lose
Lingfield,Desert Snow,Each Way,4.5,Lose
Lingfield,Crazy Chic,Each Way,10,Win
Chelmsford,Satchville Flyer,Each Way,8,Lose
Newmarket,Weetles,Each Way,8.5,Win
Wetherby,Kapstadt,Win,4,Lose
Newmarket,Mobsta,Win,3.25,Win
Newmarket,Paddys Runner,Each Way,7,Lose
Wolverhampton,Exit Europe,Each Way,5,Lose
Newmarket,Bumptious,Each Way,11,Win
Ascot,Chtibello,Each Way,15,Win
Limerick,Aqalim,Each Way,6,Win
Ascot,What A Warrior,Each Way,9,Lose
Wetherby,Medicine Hat,Each Way,8,Lose
Carlisle,Out Sam,Win,3.5,Lose
Cork,Unoccupied,Each Way,9,Lose
Plumpton,Girly Girl,Win,3.5,Win
Ludlow,Helium,Each Way,6,Win
Exeter,Walking The Air,Win,4,Lose
Exeter,Vibrato Valtat,Win,4,Win
Wolverhampton,Rouge Nuage,Each Way,13,Win
Warwick,David John,Each Way,9,Win
Nottingham,Flashy Queen,Each Way,13,Lose
Chepstow,Moorlands Mist,Each Way,21,Lose
Kempton,Bombilate,Each Way,8,Lose
Kempton,Estidraak,Win,1.91,Win
Thurles,Venitien De Mai,Win,3.75,Lose
Towcester,Gee Hi,Win,1.83,Lose
Chelmsford,Bancnuanaheireann,Each Way,10,Win
Musselburgh,Serenity Now,Win,2.63,Lose
Musselburgh,Aristo Du Plessis,Win,2.62,Win
Hexham,Destiny Awaits,Each Way,6.5,Lose
Wincanton,Wishfull Dreaming,Win,2.38,Lose
Wincanton,Warrantor,Win,9,Lose
Doncaster,Predominance,Win,5,Lose
Aintree,Our Kaempfer,Win,3.75,Lose
Doncaster,Iveagh Gardens,Each Way,6,Lose
Limerick,Bold Bid,Each Way,8.5,Lose
Ffos Las,Ma Du Fou,Win,2,Win
Sandown,Chic Name,Win,3,Lose
Kempton,Second Wave,Win,4,Win
Kempton,Big Whiskey,Each Way,8,Win
Kempton,Dutiful Son,Win,3.5,Win
Kempton,Revision,Each Way,7.5,Win
Kempton,Exit Europe,Each Way,6.5,Win
Lingfield,Flementine,Win,5,Lose
Sedgefield,Friendly Royal,Win,4.5,Lose
Ayr,Glacial Rock,Each Way,6.5,Lose
Ayr,Final Assault,Win,2.88,Win
Dundalk,Credit The Giver,Each Way,6,Win
Taunton,Lady Of Lamanver,Each Way,6,Lose
Ludlow,Max Forte,Each Way,9,Win
Lingfield,Port Paradise,Each Way,11,Lose
Cheltenham,La Vaticane,Win,4.5,Lose
Lingfield,Tuco,Win,3.25,Lose
Cheltenham,A Hare Breath,Each Way,7,Win
Wolverhampton,Quatrieme Ami,Win,3.25,Win
Cheltenham,Knockanrawley,Each Way,15,Win
Cheltenham,Irish Cavalier,Each Way,11,Win
Lingfield,Grendisar,Each Way,11,Win
Wetherby,Kayf Blanco,Each Way,8,Win
Punchestown,Colla Pier,Each Way,11,Win
Cheltenham,Altior,Win,3.75,Win
Fontwell,Gorgehous Lliege,Each Way,6.5,Lose
Cheltenham,Simply Ned,Win,3.75,Lose
Wolverhampton,Epsom Day,Win,2.62,Lose
Plumpton,Vinciaettis,Win,2.5,Win
Lingfield,Justice Rock,Each Way,6,Lose
SouthWell,Theredballoon,Win,3.75,Lose
SouthWell,Pithivier,Win,3.75,Win
SouthWell,Yes I Did,Each Way,5,Win
Warwick,Varom,Win,4.5,Lose
Chepstow,Boyfromnowhere,Win,3.75,Lose
Lingfield,Rememberance Day,Each Way,12,Lose
Chelmsford,Steal The Scene,Each Way,11,Win
Chelmsford,Crazy Chic,Win,3.25,Lose
Chelmsford,Big Whiskey,Each Way,7,Win
Chelmsford,Kristijano,Win,3,Lose
Haydock,Doctor Phoenix,Win,3,Win
Haydock,Welsh Shadow,Win,2.62,Win
Wolverhampton,Turn On The Tears,Each Way,5.5,Win
Lingfield,Exit Europe,Win,3.25,Lose
Ascot,Kitty Caul,Each Way,10,Lose
Ascot,Crown Theatre,Each Way,6.5,Lose
Haydock,Straidnahanna,Each Way,7,Lose
Galway,Illegally Blonde,Win,3.5,Win
Wolverhampton,Thataboy,Each Way,13,Lose
Wolverhampton,Right Madam,Each Way,7,Lose
Navan,Roll It Out,Each Way,5.5,Win
Exeter,St Dominick,Win,5.5,Win
Kempton,Lettheriverundry,Each Way,6,Lose
Ludlow,Armchair Theatre,Win,3,Lose
Chelmsford,Big Whiskey,Each Way,6.5,Win
Kempton,Presence Felt,Each Way,7,Win
SouthWell,What Could She Be,Each Way,4,Win
Lingfield,Midnight Silver,Each Way,4.5,Lose
SouthWell,Commissar,Each Way,8,Lose
Dundalk,Hat Alnasar,Win,4,Lose
Kempton,Lancelot Du Lac,Win,3.5,Win
SouthWell,Rubis,Each Way,7.5,Win
Newbury,Value At Risk,Win,3.75,Lose
Newbury,Chtibello,Win,4,Lose
SouthWell,Danish Duke,Each Way,10,Win
Chelmsford,Make Music,Each Way,5,Lose
Chelmsford,Epsom Day,Win,2.1,Lose
Newbury,Maximiser,Each Way,5,Lose
Newbury,West Approach,Each Way,17,Lose
York,Air Of York,Win,2.75,Win
Wolverhampton,Wink Oliver,Win,3.5,Lose
Dundalk,Red Rannagh,Each Way,5.5,Win
Fairyhouse,Dysios,Each Way,21,Lose
Newcastle,Ballydine,Win,2.88,Win
Newbury,Aloomomo,Each Way,8,Win
Doncaster,Jack Steel,Win,3.75,Lose
Newbury,Houblon Des Obeaux,Each Way,15,Lose
Bangor,Final Nudge,Win,2.38,Win
Newbury,Pearls Legend,Each Way,8.5,Win
Carlisle,On Tour,Win,1.91,Win
Wolverhampton,Edith Weston,Each Way,13,Lose
Wolverhampton,Rock Of Monaco,Each Way,8,Win
Wolverhampton,Russian Radiance,Win,3.5,Win
Kempton,Sunbaked,Win,3.5,Lose
SouthWell,Crosspark,Win,3,Lose
Aintree,Saint Raph,Win,4,Lose
Wolverhampton,The Gay Cavalier,Win,4,Lose
Lingfield,Cottesloe,Each Way,11,Lose
Ludlow,Tara Mist,Win,5,Lose
Leicester,Moscow Me,Win,3,Lose
Wincanton,Kings Apollo,Each Way,11,Lose
Market Rasen,Nebula Storm,Win,4,Lose
Kempton,Aldeburgh,Each Way,9,Lose
Exeter,St Dominick,Each Way,6.5,Lose
Sandown,Label Des Obeaux,Each Way,4.5,Win
Exeter,Never Says Never,Win,2,Lose
Wolverhampton,Ejayteekay,Each Way,5.5,Lose
Dundalk,Little Sweetheart,Each Way,4,Win
Wetherby,Bobs Lady Tamure,Each Way,17,Lose
Sandown,Vibrato Valtat,Win,3,Lose
Wolverhampton,Quatrieme Ami,Each Way,5,Win
Punchestown,Empire Of Dirt,Win,4.5,Lose
Huntingdon,La Bague Au Roi,Win,1.91,Win
Lingfield,Enaad,Win,2.25,Win
Chelmsford,Mighty Zip,Each Way,6,Win
Chelmsford,Supersta,Win,2.1,Win
SouthWell,Grey Destiny,Each Way,5,Lose
Uttoxeter,Baywing,Win,2.75,Win
SouthWell,Tigers Home,Win,3,Lose
Uttoxeter,April Dusk,Win,3,Win
Lingfield,Silver Quay,Win,2.25,Lose
Lingfield,Big Time,Win,3,Lose
Lingfield,Outer Space,Win,5,Lose
Warwick,Capilla,Win,2.2,Lose
Taunton,Sidbury Hill,Win,3.5,Lose
Warwick,Cyclop,Win,3,Win
Cheltenham,A Hare Breath,Win,3.25,Lose
Cheltenham,One Track Mind,Each Way,4.33,Lose
Doncaster,Holly Bush Henry,Win,3.5,Win
Cheltenham,Sceau Royal,Win,3.5,Win
Cheltenham,Tenor Nivernais,Each Way,13,Win
Cheltenham,Final Nudge,Win,7.5,Lose
SouthWell,Grey Destiny,Win,5.5,Win
SouthWell,Penn Lane,Win,3,Lose
Navan,All You Need,Each Way,5,Lose
SouthWell,Ruby Rambler,Win,3.75,Win
Ffos Las,Never Equalled,Each Way,6,Win
Wolverhampton,Quality Song,Win,2.62,Lose
Kempton,Wharane,Each Way,12,Lose
Lingfield,Sacred Trust,Win,3.5,Lose
Ludlow,Double Shuffle,Win,5,Win
Lingfield,Sirens Cove,Win,5.5,Lose
Newbury,Big Chief Benny,Win,3.25,Lose
Kempton,Severini,Win,1.73,Win
Exeter,Kylemore Lough,Win,3,Win
Exeter,Our Cat,Win,5.5,Lose
SouthWell,Serenity Now,Each Way,4.33,Lose
Hamilton,Duke Des Champs,Each Way,7,Win
Wolverhampton,Take The Helm,Each Way,6,Win
Dundalk,Oscar Dominguez,Win,3.5,Win
Lingfield,Barye,Each Way,8,Win
Lingfield,Grendisar,Win,3.75,Lose
Ascot,Winner Massagot,Each Way,7,Lose
Fakenham,Wings Attract,Win,3.75,Lose
Lingfield,Koreen,Each Way,5,Lose
Lingfield,Warrantor,Win,5,Win
Chelmsford,Fast Sprite,Win,4,Lose
SouthWell,Yul Finegold,Win,3.5,Lose
Wolverhampton,Next Edition,Each Way,7,Lose
Leopardstown,Coney Island,Win,3,Win
Sedgefield,Bollin Ace,Each Way,5,Lose
Leopardstown,Dont Touch It,Win,4.5,Lose
Kempton,Open Eagle,Win,4.5,Lose
Wolverhampton,Horsted Keynes,Each Way,7,Lose
Leopardstown,Ttebbob,Win,5,Lose
Kempton,Matorico,Each Way,9,Lose
Kempton,Ar Mad,Win,4,Win
Leopardstown,Petit Mouchoir,Each Way,13,Win
Leopardstown,Woodland Opera,Each Way,8,Lose
Leopardstown,Rossvoss,Each Way,15,Lose
Kempton,Desert Queen,Win,2.75,Lose
Tipperary,Tippmanboy,Each Way,4.5,Lose
Leopardstown,Jimmy Two Times,Each Way,17,Lose
Lingfield,Gabrial The Hero,Each Way,8,Win
Lingfield,Spiritual Star,Each Way,10,Lose
SouthWell,Northside Prince,Each Way,10,Win
Longchamp,Go Long,Win,2.5,Lose
Doncaster,Kalane,Win,3.25,Lose
Lingfield,Archaic,Win,2.5,Lose
